,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
5860,Florida,37,29,8,0.784,16.27,7.57,13.0,3.0,14.0,3.0,8.0,2.0,2667.0,2345.0,0.357,0.317,0.547,54.0,53.8,9.5,0.521,15.6,0.239,1.0,SEC,2.0,True,False,False,2011
5861,Florida A&M,32,12,20,0.375,-16.82,-8.71,7.0,9.0,11.0,3.0,1.0,16.0,2055.0,2196.0,0.402,0.349,0.483,50.2,41.8,9.8,0.453,19.8,0.243,7.0,MEAC,-1,False,False,False,2011
5862,Florida Atlantic,32,21,11,0.656,-2.41,-2.61,13.0,3.0,10.0,3.0,9.0,7.0,2191.0,2137.0,0.392,0.292,0.523,49.1,50.5,12.8,0.492,14.7,0.258,1.0,Sun Belt,-1,False,False,False,2011
5863,Florida Gulf Coast,30,10,20,0.333,-10.27,-3.11,7.0,13.0,6.0,8.0,4.0,12.0,1970.0,2185.0,0.426,0.319,0.493,50.7,54.3,6.3,0.454,20.0,0.277,7.0,A-Sun,-1,False,False,False,2011
5864,Florida International,30,11,19,0.367,-9.33,-4.23,5.0,11.0,8.0,7.0,2.0,11.0,2150.0,2262.0,0.49,0.305,0.532,47.7,44.6,10.5,0.488,17.9,0.336,6.0,Sun Belt,-1,False,False,False,2011
5865,Florida State,34,23,11,0.676,13.48,6.45,11.0,5.0,12.0,3.0,8.0,5.0,2348.0,2109.0,0.381,0.333,0.522,53.3,51.1,17.5,0.49,19.4,0.253,3.0,ACC,10.0,True,False,False,2011
5866,Fordham,28,7,21,0.25,-8.77,1.01,1.0,15.0,6.0,6.0,1.0,10.0,1795.0,2069.0,0.307,0.331,0.479,50.0,54.0,11.4,0.452,17.3,0.194,14.0,A-10,-1,False,False,False,2011
5867,Fresno State,31,14,17,0.452,-0.25,0.58,6.0,10.0,11.0,5.0,3.0,11.0,2096.0,2089.0,0.39,0.357,0.508,50.8,59.4,10.2,0.48,17.3,0.245,7.0,WAC,-1,False,False,False,2011
5868,Furman,33,22,11,0.667,-0.36,-3.65,12.0,6.0,11.0,2.0,9.0,8.0,2271.0,2124.0,0.405,0.371,0.556,52.2,52.8,9.7,0.516,17.6,0.294,9.0,Southern,-1,False,False,False,2011
5869,Gardner-Webb,32,11,21,0.344,-9.22,-2.72,6.0,12.0,6.0,5.0,3.0,16.0,1985.0,2129.0,0.313,0.359,0.496,50.5,46.6,7.0,0.469,19.2,0.201,9.0,Big South,-1,False,False,False,2011
5870,George Mason,34,27,7,0.794,11.66,1.37,16.0,2.0,14.0,0.0,10.0,3.0,2474.0,2124.0,0.386,0.308,0.562,51.5,55.1,8.9,0.532,14.6,0.266,1.0,CAA,8.0,True,False,False,2011
5871,George Washington,31,17,14,0.548,-0.1,0.36,10.0,6.0,9.0,7.0,7.0,5.0,2011.0,2025.0,0.376,0.315,0.497,51.1,52.1,12.3,0.468,16.4,0.236,5.0,A-10,-1,False,False,False,2011
5872,Georgetown,32,21,11,0.656,14.61,10.39,10.0,8.0,10.0,4.0,7.0,5.0,2258.0,2123.0,0.334,0.371,0.572,52.0,59.5,11.2,0.541,18.0,0.245,8.0,Big East,6.0,True,False,False,2011
5873,Georgia,33,21,12,0.636,10.43,6.13,9.0,7.0,12.0,4.0,7.0,4.0,2267.0,2125.0,0.366,0.25,0.53,53.4,60.1,12.8,0.495,17.2,0.255,4.0,SEC,10.0,True,False,False,2011
5874,Georgia Southern,32,5,27,0.156,-15.88,-3.13,1.0,17.0,5.0,10.0,0.0,14.0,2090.0,2423.0,0.401,0.262,0.528,47.8,51.1,7.9,0.491,22.5,0.276,12.0,Southern,-1,False,False,False,2011
5875,Georgia State,31,12,19,0.387,-4.15,-1.92,6.0,12.0,8.0,6.0,2.0,12.0,1919.0,1988.0,0.328,0.305,0.495,51.9,57.1,14.7,0.475,19.3,0.195,9.0,CAA,-1,False,False,False,2011
5876,Georgia Tech,31,13,18,0.419,6.42,5.68,5.0,11.0,10.0,6.0,1.0,10.0,2102.0,2079.0,0.318,0.347,0.492,50.7,54.3,11.7,0.457,16.6,0.219,11.0,ACC,-1,False,False,False,2011
5877,Gonzaga,35,25,10,0.714,13.86,4.01,11.0,3.0,14.0,2.0,6.0,4.0,2684.0,2307.0,0.416,0.281,0.576,54.8,58.2,10.5,0.531,16.9,0.317,2.0,WCC,11.0,True,False,False,2011
5878,Grambling,33,12,21,0.364,-18.45,-10.45,8.0,10.0,4.0,6.0,5.0,13.0,1998.0,2262.0,0.385,0.303,0.46,48.5,48.4,6.8,0.425,18.9,0.236,6.0,SWAC,-1,False,False,False,2011
5879,Green Bay,32,14,18,0.438,-0.21,2.18,8.0,10.0,10.0,4.0,4.0,12.0,2154.0,2189.0,0.345,0.265,0.514,51.3,47.9,10.7,0.479,16.7,0.238,7.0,Horizon,-1,False,False,False,2011
5880,Hampton,33,24,9,0.727,-5.2,-8.77,11.0,5.0,8.0,3.0,8.0,5.0,2197.0,2070.0,0.412,0.357,0.499,47.0,51.9,14.2,0.463,15.8,0.267,2.0,MEAC,16.0,True,False,False,2011
5881,Hartford,31,11,20,0.355,-10.04,-5.55,7.0,9.0,7.0,5.0,3.0,13.0,1857.0,1996.0,0.235,0.495,0.476,45.3,54.6,8.6,0.458,16.6,0.141,6.0,AEC,-1,False,False,False,2011
5882,Harvard,30,23,7,0.767,4.88,-1.19,12.0,3.0,14.0,0.0,9.0,6.0,2144.0,1933.0,0.433,0.364,0.596,51.8,60.6,11.8,0.543,18.1,0.351,2.0,Ivy,-1,False,False,False,2011
5883,Hawaii,32,19,13,0.594,0.51,-0.87,8.0,8.0,15.0,5.0,4.0,6.0,2216.0,2151.0,0.436,0.321,0.545,51.4,50.0,11.0,0.508,19.6,0.299,5.0,WAC,-1,False,False,False,2011
5884,High Point,31,12,19,0.387,-12.82,-4.47,7.0,11.0,9.0,5.0,3.0,13.0,2050.0,2250.0,0.413,0.287,0.501,48.2,48.5,7.6,0.462,18.6,0.275,8.0,Big South,-1,False,False,False,2011
5885,Hofstra,33,21,12,0.636,-0.03,0.13,14.0,4.0,10.0,3.0,10.0,5.0,2335.0,2300.0,0.359,0.318,0.544,47.1,55.1,11.0,0.5,13.9,0.273,3.0,CAA,-1,False,False,False,2011
5886,Holy Cross,29,8,21,0.276,-6.38,-4.55,7.0,7.0,4.0,9.0,4.0,12.0,1949.0,2002.0,0.357,0.281,0.515,52.2,54.0,9.7,0.486,17.0,0.232,3.0,Patriot,-1,False,False,False,2011
5887,Houston,30,12,18,0.4,-2.71,0.55,4.0,12.0,10.0,6.0,2.0,11.0,2061.0,2092.0,0.409,0.286,0.546,48.6,55.6,10.6,0.515,19.5,0.274,11.0,CUSA,-1,False,False,False,2011
5888,Houston Christian,31,5,26,0.161,-18.41,-8.72,2.0,10.0,4.0,8.0,0.0,15.0,2140.0,2429.0,0.399,0.295,0.495,46.2,49.3,7.0,0.454,19.2,0.27,7.0,GWC,-1,False,False,False,2011
5889,Howard,30,6,24,0.2,-18.8,-7.3,4.0,12.0,6.0,9.0,0.0,13.0,1753.0,2098.0,0.426,0.305,0.463,49.1,47.0,6.5,0.424,20.1,0.265,11.0,MEAC,-1,False,False,False,2011
5890,Idaho,32,18,14,0.563,0.2,-0.64,9.0,7.0,10.0,5.0,8.0,8.0,2172.0,2134.0,0.383,0.321,0.559,50.3,60.0,8.3,0.523,19.5,0.276,3.0,WAC,-1,False,False,False,2011
5891,Idaho State,29,9,20,0.31,-10.76,-1.87,4.0,12.0,7.0,5.0,1.0,14.0,1878.0,2096.0,0.414,0.276,0.503,49.0,42.9,9.5,0.457,17.0,0.29,8.0,Big Sky,-1,False,False,False,2011
5892,Illinois,34,20,14,0.588,16.72,11.11,9.0,9.0,14.0,2.0,3.0,7.0,2413.0,2222.0,0.282,0.314,0.557,51.2,63.5,12.1,0.529,16.7,0.206,5.0,Big Ten,9.0,True,False,False,2011
5893,Illinois State,31,12,19,0.387,-3.37,-0.66,4.0,14.0,10.0,8.0,2.0,10.0,1893.0,1977.0,0.336,0.308,0.51,51.4,50.9,11.7,0.473,18.3,0.238,9.0,MVC,-1,False,False,False,2011
5895,Indiana,32,12,20,0.375,9.03,7.65,3.0,15.0,12.0,6.0,0.0,11.0,2226.0,2182.0,0.369,0.319,0.553,50.7,49.8,7.9,0.516,17.1,0.268,11.0,Big Ten,-1,False,False,False,2011
5896,Indiana State,34,20,14,0.588,3.41,2.9,12.0,6.0,10.0,3.0,6.0,8.0,2253.0,2192.0,0.377,0.362,0.533,50.8,56.0,12.4,0.494,18.4,0.268,3.0,MVC,14.0,True,False,False,2011
5897,Iona,37,25,12,0.676,7.01,-2.26,13.0,5.0,12.0,3.0,11.0,6.0,2922.0,2579.0,0.365,0.361,0.566,51.6,61.5,8.5,0.544,15.3,0.24,2.0,MAAC,-1,False,False,False,2011
5898,Iowa,31,11,20,0.355,7.95,8.79,4.0,14.0,8.0,8.0,2.0,9.0,2084.0,2110.0,0.345,0.267,0.514,50.9,55.2,8.0,0.481,18.1,0.233,10.0,Big Ten,-1,False,False,False,2011
5899,Iowa State,32,16,16,0.5,8.86,4.55,3.0,13.0,13.0,6.0,2.0,9.0,2395.0,2257.0,0.264,0.375,0.534,48.5,55.2,9.0,0.506,15.2,0.191,12.0,Big 12,-1,False,False,False,2011
5900,IUPUI,33,19,14,0.576,0.39,-0.84,12.0,6.0,9.0,2.0,7.0,9.0,2364.0,2282.0,0.321,0.314,0.568,50.5,42.4,7.3,0.529,15.1,0.251,3.0,Summit,-1,False,False,False,2011
5901,Jackson State,32,17,15,0.531,-10.43,-10.86,12.0,6.0,9.0,3.0,7.0,11.0,2096.0,2009.0,0.425,0.332,0.507,51.9,59.1,10.2,0.474,18.9,0.271,2.0,SWAC,-1,False,False,False,2011
5902,Jacksonville,32,20,12,0.625,-1.42,-3.68,13.0,7.0,11.0,2.0,9.0,9.0,2176.0,2094.0,0.384,0.251,0.499,52.0,50.1,10.8,0.461,18.2,0.257,3.0,A-Sun,-1,False,False,False,2011
5903,Jacksonville State,30,5,25,0.167,-11.16,-5.41,3.0,15.0,2.0,9.0,2.0,15.0,1828.0,1974.0,0.341,0.306,0.509,47.6,56.1,10.3,0.481,19.4,0.221,10.0,OVC,-1,False,False,False,2011
5904,James Madison,33,21,12,0.636,2.94,-0.03,10.0,8.0,11.0,4.0,10.0,7.0,2355.0,2257.0,0.385,0.291,0.549,52.2,54.8,10.3,0.513,16.4,0.274,6.0,CAA,-1,False,False,False,2011
5905,Kansas,38,35,3,0.921,24.1,7.62,14.0,2.0,16.0,1.0,9.0,1.0,3084.0,2458.0,0.393,0.324,0.593,55.7,60.5,10.7,0.57,16.3,0.267,1.0,Big 12,1.0,True,False,False,2011
5906,Kansas City,30,16,14,0.533,-8.91,-4.46,9.0,9.0,11.0,4.0,5.0,9.0,2100.0,2217.0,0.416,0.41,0.538,48.7,45.2,6.8,0.507,17.7,0.275,6.0,Summit,-1,False,False,False,2011
5907,Kansas State,34,23,11,0.676,14.59,8.41,10.0,6.0,16.0,1.0,5.0,5.0,2477.0,2249.0,0.427,0.325,0.531,54.7,55.8,12.1,0.499,17.6,0.28,4.0,Big 12,5.0,True,False,False,2011
5908,Kennesaw State,31,8,23,0.258,-14.06,-3.29,6.0,14.0,6.0,8.0,2.0,14.0,2017.0,2320.0,0.357,0.335,0.498,47.8,48.2,9.2,0.467,18.0,0.232,9.0,A-Sun,-1,False,False,False,2011
5909,Kent State,37,25,12,0.676,3.65,0.04,12.0,4.0,14.0,2.0,7.0,9.0,2626.0,2473.0,0.346,0.277,0.518,50.3,53.4,10.3,0.487,15.8,0.231,1.0,MAC,-1,False,False,False,2011
5910,Kentucky,38,29,9,0.763,20.3,8.91,10.0,6.0,15.0,0.0,3.0,7.0,2845.0,2412.0,0.361,0.324,0.556,52.5,48.1,15.5,0.523,13.7,0.257,2.0,SEC,4.0,True,True,False,2011
5911,La Salle,33,15,18,0.455,-0.08,1.7,6.0,10.0,9.0,10.0,5.0,5.0,2536.0,2595.0,0.329,0.276,0.53,51.2,53.7,9.1,0.496,17.7,0.233,10.0,A-10,-1,False,False,False,2011
5912,Lafayette,32,13,19,0.406,-7.26,-4.19,6.0,8.0,8.0,6.0,5.0,13.0,2237.0,2310.0,0.36,0.401,0.544,47.3,63.1,6.8,0.499,17.3,0.274,5.0,Patriot,-1,False,False,False,2011
5913,Lamar,30,13,17,0.433,-6.69,-5.96,7.0,9.0,8.0,5.0,4.0,11.0,2463.0,2279.0,0.399,0.331,0.528,52.0,51.7,8.9,0.491,16.4,0.274,5.0,Southland,-1,False,False,False,2011
5914,Lehigh,31,16,15,0.516,-4.07,-5.69,6.0,8.0,9.0,5.0,7.0,10.0,2282.0,2232.0,0.464,0.295,0.525,49.8,50.1,9.6,0.465,15.6,0.35,4.0,Patriot,-1,False,False,False,2011
5915,Liberty,32,19,13,0.594,-5.62,-4.86,13.0,5.0,12.0,4.0,5.0,9.0,2165.0,2100.0,0.352,0.282,0.508,54.1,51.6,9.3,0.472,18.6,0.241,2.0,Big South,-1,False,False,False,2011
5916,Lipscomb,30,17,13,0.567,-0.96,-2.65,12.0,8.0,10.0,2.0,7.0,10.0,2287.0,2213.0,0.406,0.341,0.548,51.5,58.1,5.5,0.51,18.2,0.287,4.0,A-Sun,-1,False,False,False,2011
5917,Little Rock,36,19,17,0.528,-4.32,-2.97,7.0,9.0,10.0,5.0,3.0,10.0,2457.0,2426.0,0.423,0.317,0.528,48.9,52.5,7.4,0.488,15.5,0.292,11.0,Sun Belt,-1,False,False,False,2011
5918,Long Beach State,34,22,12,0.647,3.78,1.69,14.0,2.0,11.0,2.0,7.0,7.0,2489.0,2398.0,0.421,0.329,0.537,52.1,52.6,5.3,0.503,17.4,0.283,1.0,Big West,-1,False,False,False,2011
5919,Long Island University,33,27,6,0.818,2.23,-5.77,16.0,2.0,14.0,2.0,13.0,3.0,2730.0,2466.0,0.497,0.316,0.55,52.8,54.2,7.6,0.519,16.9,0.321,1.0,NEC,15.0,True,False,False,2011
5921,Louisiana,29,14,15,0.483,-5.45,-4.19,11.0,5.0,10.0,4.0,4.0,10.0,2055.0,2067.0,0.436,0.265,0.519,52.5,41.3,11.4,0.482,18.4,0.289,8.0,Sun Belt,-1,False,False,False,2011
5922,Louisiana State,32,11,21,0.344,-2.09,2.26,3.0,13.0,8.0,10.0,3.0,8.0,1991.0,2130.0,0.376,0.324,0.488,48.5,52.6,8.6,0.45,18.4,0.25,12.0,SEC,-1,False,False,False,2011
5923,Louisiana Tech,32,12,20,0.375,-5.99,-0.99,2.0,14.0,8.0,6.0,2.0,14.0,2051.0,2174.0,0.373,0.34,0.506,51.6,45.9,7.0,0.475,20.9,0.242,9.0,WAC,-1,False,False,False,2011
5924,Louisiana-Monroe,31,7,24,0.226,-14.27,-3.96,2.0,14.0,4.0,9.0,2.0,13.0,1859.0,2126.0,0.349,0.306,0.497,49.2,46.5,5.1,0.466,19.1,0.226,12.0,Sun Belt,-1,False,False,False,2011
5925,Louisville,35,25,10,0.714,18.6,8.2,12.0,6.0,19.0,2.0,4.0,6.0,2623.0,2259.0,0.299,0.407,0.548,50.1,64.1,13.5,0.526,16.1,0.198,4.0,Big East,4.0,True,False,False,2011
5926,Loyola (IL),31,16,15,0.516,1.73,-1.1,7.0,11.0,9.0,8.0,7.0,7.0,2153.0,2065.0,0.369,0.319,0.529,51.5,51.7,9.6,0.485,16.3,0.272,8.0,Horizon,-1,False,False,False,2011
5927,Loyola (MD),30,15,15,0.5,-3.28,-3.68,10.0,8.0,8.0,6.0,7.0,8.0,2023.0,2011.0,0.372,0.316,0.511,52.1,50.9,10.7,0.47,16.7,0.262,5.0,MAAC,-1,False,False,False,2011
5928,Loyola Marymount,32,11,21,0.344,-2.79,0.27,2.0,12.0,7.0,7.0,2.0,12.0,2265.0,2312.0,0.387,0.248,0.512,51.8,54.0,10.0,0.472,17.1,0.269,7.0,WCC,-1,False,False,False,2011
5929,Maine,30,15,15,0.5,-4.87,-5.84,9.0,7.0,7.0,7.0,8.0,7.0,2089.0,2010.0,0.405,0.342,0.556,50.4,54.5,9.5,0.521,17.1,0.283,4.0,AEC,-1,False,False,False,2011
5930,Manhattan,31,6,25,0.194,-11.66,-2.01,3.0,15.0,3.0,10.0,3.0,11.0,1862.0,2161.0,0.337,0.225,0.478,48.2,44.3,11.4,0.437,17.7,0.235,9.0,MAAC,-1,False,False,False,2011
5931,Marist,33,6,27,0.182,-13.7,-1.46,3.0,15.0,4.0,10.0,1.0,15.0,1979.0,2383.0,0.363,0.384,0.487,47.1,47.9,7.0,0.441,19.1,0.258,10.0,MAAC,-1,False,False,False,2011
5932,Marquette,37,22,15,0.595,14.89,8.51,9.0,9.0,14.0,4.0,4.0,7.0,2782.0,2546.0,0.443,0.261,0.549,51.7,59.0,9.5,0.51,15.2,0.308,11.0,Big East,11.0,True,False,False,2011
5933,Marshall,34,22,12,0.647,6.32,1.94,9.0,7.0,14.0,4.0,6.0,7.0,2499.0,2291.0,0.471,0.309,0.541,53.3,51.4,9.2,0.502,16.4,0.32,6.0,CUSA,-1,False,False,False,2011
5934,Maryland,33,19,14,0.576,15.0,5.76,7.0,9.0,14.0,4.0,4.0,6.0,2536.0,2231.0,0.389,0.219,0.541,52.6,59.8,11.2,0.509,16.1,0.263,7.0,ACC,-1,False,False,False,2011
5935,Maryland-Baltimore County,30,5,25,0.167,-18.47,-4.27,4.0,12.0,3.0,10.0,2.0,14.0,1928.0,2354.0,0.279,0.317,0.487,46.4,49.4,4.9,0.453,16.6,0.198,9.0,AEC,-1,False,False,False,2011
5936,Maryland-Eastern Shore,31,9,22,0.29,-19.35,-7.42,5.0,11.0,7.0,5.0,1.0,16.0,2096.0,2408.0,0.353,0.306,0.484,47.0,50.8,4.3,0.45,17.2,0.23,10.0,MEAC,-1,False,False,False,2011
5937,Massachusetts,30,15,15,0.5,-0.76,1.93,7.0,9.0,8.0,8.0,4.0,6.0,1988.0,2039.0,0.37,0.326,0.485,50.6,48.3,11.1,0.448,16.7,0.245,9.0,A-10,-1,False,False,False,2011
5938,McNeese State,33,21,12,0.636,-4.7,-4.39,11.0,5.0,14.0,2.0,4.0,9.0,2446.0,2354.0,0.393,0.336,0.541,49.1,44.5,8.7,0.496,15.1,0.293,1.0,Southland,-1,False,False,False,2011
5939,Memphis,35,25,10,0.714,6.91,3.14,10.0,6.0,17.0,2.0,3.0,6.0,2524.0,2392.0,0.396,0.324,0.538,50.6,57.5,13.4,0.504,18.6,0.269,4.0,CUSA,12.0,True,False,False,2011
5940,Mercer,33,15,18,0.455,-4.08,-2.17,11.0,9.0,9.0,6.0,4.0,10.0,2220.0,2258.0,0.437,0.364,0.521,48.3,53.5,7.9,0.478,18.0,0.301,5.0,A-Sun,-1,False,False,False,2011
5941,Miami (FL),36,21,15,0.583,10.47,6.42,6.0,10.0,13.0,4.0,4.0,9.0,2579.0,2433.0,0.389,0.384,0.557,52.8,47.7,9.5,0.518,17.7,0.282,9.0,ACC,-1,False,False,False,2011
5942,Miami (OH),33,16,17,0.485,-1.58,3.04,11.0,5.0,12.0,4.0,4.0,12.0,2190.0,2319.0,0.363,0.415,0.542,49.0,50.1,7.2,0.504,18.7,0.264,2.0,MAC,-1,False,False,False,2011
5943,Michigan,35,21,14,0.6,14.21,10.68,9.0,9.0,14.0,5.0,5.0,5.0,2328.0,2187.0,0.266,0.426,0.547,48.6,56.7,6.0,0.523,14.2,0.186,4.0,Big Ten,8.0,True,False,False,2011
5944,Michigan State,34,19,15,0.559,13.7,11.67,9.0,9.0,12.0,3.0,3.0,8.0,2338.0,2263.0,0.365,0.327,0.526,52.9,62.3,13.1,0.489,17.0,0.256,6.0,Big Ten,10.0,True,False,False,2011
5945,Middle Tennessee,32,16,16,0.5,-2.74,-4.45,10.0,6.0,10.0,4.0,4.0,10.0,2218.0,2121.0,0.479,0.286,0.526,51.7,46.2,11.1,0.475,18.7,0.34,2.0,Sun Belt,-1,False,False,False,2011
5946,Milwaukee,33,19,14,0.576,1.48,2.51,13.0,5.0,10.0,5.0,8.0,8.0,2266.0,2300.0,0.441,0.406,0.534,50.4,55.9,5.8,0.502,17.8,0.289,3.0,Horizon,-1,False,False,False,2011
5947,Minnesota,31,17,14,0.548,11.75,9.79,6.0,12.0,11.0,6.0,3.0,7.0,2137.0,2076.0,0.437,0.286,0.533,53.6,64.7,16.7,0.499,17.1,0.289,9.0,Big Ten,-1,False,False,False,2011
5948,Mississippi,34,20,14,0.588,8.71,3.92,7.0,9.0,13.0,4.0,4.0,8.0,2513.0,2350.0,0.348,0.377,0.549,51.8,47.8,14.0,0.508,16.0,0.263,9.0,SEC,-1,False,False,False,2011
5949,Mississippi State,31,17,14,0.548,3.38,3.77,9.0,7.0,12.0,5.0,4.0,5.0,2165.0,2177.0,0.359,0.4,0.544,49.5,53.2,10.5,0.507,17.2,0.259,8.0,SEC,-1,False,False,False,2011
5950,Mississippi Valley State,32,13,19,0.406,-13.95,-7.48,12.0,6.0,7.0,2.0,5.0,14.0,2186.0,2393.0,0.388,0.34,0.498,50.1,52.3,7.2,0.46,20.2,0.258,3.0,SWAC,-1,False,False,False,2011
5951,Missouri,34,23,11,0.676,14.77,6.5,8.0,8.0,17.0,1.0,2.0,7.0,2748.0,2435.0,0.339,0.312,0.552,48.6,56.8,12.5,0.515,14.8,0.25,5.0,Big 12,11.0,True,False,False,2011
5952,Missouri State,35,26,9,0.743,8.07,1.35,15.0,3.0,16.0,1.0,7.0,7.0,2444.0,2209.0,0.382,0.347,0.557,52.7,55.1,8.1,0.518,14.2,0.279,1.0,MVC,-1,False,False,False,2011
5953,Monmouth,30,9,21,0.3,-9.67,-4.4,5.0,13.0,5.0,10.0,2.0,11.0,1818.0,1976.0,0.379,0.353,0.497,49.0,59.5,6.6,0.465,19.3,0.242,11.0,NEC,-1,False,False,False,2011
5954,Montana,32,21,11,0.656,2.17,-2.47,12.0,4.0,13.0,2.0,7.0,9.0,2151.0,1950.0,0.425,0.286,0.54,51.2,55.0,12.7,0.507,16.8,0.284,2.0,Big Sky,-1,False,False,False,2011
5955,Montana State,31,13,18,0.419,-7.01,-3.22,7.0,9.0,9.0,4.0,2.0,14.0,2079.0,2130.0,0.368,0.408,0.511,48.5,52.2,6.5,0.482,15.5,0.238,5.0,Big Sky,-1,False,False,False,2011
5956,Morehead State,35,25,10,0.714,2.81,-3.13,13.0,5.0,14.0,1.0,8.0,8.0,2412.0,2162.0,0.401,0.321,0.541,56.9,49.8,10.2,0.509,19.1,0.27,2.0,OVC,13.0,True,False,False,2011
5957,Morgan State,31,17,14,0.548,-8.04,-7.72,10.0,6.0,10.0,2.0,4.0,10.0,2061.0,2071.0,0.454,0.247,0.502,52.6,52.5,10.1,0.456,18.6,0.309,4.0,MEAC,-1,False,False,False,2011
5958,Mount St. Mary's,32,11,21,0.344,-9.22,-3.47,9.0,9.0,8.0,5.0,3.0,16.0,1940.0,2124.0,0.368,0.281,0.502,47.1,54.9,9.0,0.464,19.8,0.25,7.0,NEC,-1,False,False,False,2011
5959,Murray State,32,23,9,0.719,0.45,-4.85,14.0,4.0,13.0,2.0,9.0,4.0,2194.0,1979.0,0.47,0.315,0.558,51.9,58.8,8.2,0.519,18.6,0.329,1.0,OVC,-1,False,False,False,2011
5960,Navy,31,11,20,0.355,-10.66,-5.56,6.0,8.0,6.0,7.0,4.0,11.0,2113.0,2254.0,0.391,0.454,0.505,43.6,55.8,7.7,0.46,18.5,0.277,6.0,Patriot,-1,False,False,False,2011
5961,NC State,31,15,16,0.484,7.02,6.8,5.0,11.0,11.0,5.0,1.0,9.0,2191.0,2184.0,0.36,0.233,0.515,50.4,55.3,10.2,0.478,15.0,0.25,10.0,ACC,-1,False,False,False,2011
5962,Nebraska,32,19,13,0.594,10.54,4.67,7.0,9.0,17.0,2.0,1.0,8.0,2124.0,1936.0,0.352,0.311,0.543,52.7,53.7,11.4,0.51,18.0,0.247,7.0,Big 12,-1,False,False,False,2011
5963,Nevada,32,13,19,0.406,0.34,1.88,8.0,8.0,9.0,5.0,3.0,10.0,2245.0,2279.0,0.433,0.34,0.523,51.0,47.3,9.2,0.481,17.6,0.297,6.0,WAC,-1,False,False,False,2011
5965,New Hampshire,30,12,18,0.4,-10.07,-6.32,6.0,10.0,7.0,5.0,4.0,12.0,1749.0,1826.0,0.341,0.404,0.462,49.2,47.9,8.5,0.433,16.0,0.209,7.0,AEC,-1,False,False,False,2011
5966,New Mexico,35,22,13,0.629,11.72,4.9,8.0,8.0,14.0,3.0,6.0,8.0,2562.0,2308.0,0.426,0.341,0.555,54.4,61.0,9.3,0.516,16.9,0.303,5.0,MWC,-1,False,False,False,2011
5967,New Mexico State,33,16,17,0.485,2.11,2.66,9.0,7.0,12.0,5.0,3.0,9.0,2364.0,2316.0,0.494,0.311,0.538,50.4,51.7,10.0,0.497,18.1,0.334,4.0,WAC,-1,False,False,False,2011
5968,Niagara,32,9,23,0.281,-11.89,-3.02,5.0,13.0,6.0,7.0,2.0,14.0,1966.0,2250.0,0.396,0.355,0.464,44.6,50.5,8.9,0.421,17.5,0.262,8.0,MAAC,-1,False,False,False,2011
5969,Nicholls State,28,14,14,0.5,-5.72,-4.52,8.0,8.0,11.0,2.0,3.0,11.0,1836.0,1730.0,0.384,0.396,0.542,47.0,62.3,3.2,0.509,17.5,0.264,4.0,Southland,-1,False,False,False,2011
5970,NJIT,30,15,15,0.5,-13.18,-9.64,9.0,3.0,10.0,5.0,5.0,9.0,2065.0,2052.0,0.333,0.352,0.514,50.2,52.5,10.6,0.493,16.9,0.206,2.0,GWC,-1,False,False,False,2011
5971,Norfolk State,32,12,20,0.375,-12.2,-7.45,8.0,8.0,7.0,4.0,3.0,14.0,2238.0,2390.0,0.41,0.32,0.523,49.7,52.7,14.1,0.486,19.4,0.278,6.0,MEAC,-1,False,False,False,2011
5972,North Carolina,37,29,8,0.784,18.87,10.15,14.0,2.0,15.0,0.0,7.0,3.0,2868.0,2545.0,0.379,0.25,0.524,54.0,54.9,13.3,0.492,15.3,0.255,1.0,ACC,2.0,True,False,False,2011
5973,North Carolina A&T,32,15,17,0.469,-12.06,-6.26,9.0,7.0,11.0,2.0,4.0,14.0,2282.0,2372.0,0.432,0.349,0.524,47.9,49.4,12.1,0.488,18.0,0.287,5.0,MEAC,-1,False,False,False,2011
5975,North Dakota,34,19,15,0.559,-11.83,-8.7,8.0,4.0,11.0,3.0,4.0,11.0,2319.0,2327.0,0.44,0.344,0.525,50.3,53.9,10.2,0.485,17.9,0.299,3.0,GWC,-1,False,False,False,2011
5976,North Dakota State,29,14,15,0.483,-1.54,-3.5,8.0,10.0,10.0,3.0,2.0,11.0,2188.0,2062.0,0.408,0.262,0.555,52.6,50.9,6.4,0.521,16.2,0.283,7.0,Summit,-1,False,False,False,2011
5977,North Florida,34,15,19,0.441,-6.25,0.31,10.0,10.0,4.0,7.0,7.0,11.0,2208.0,2431.0,0.425,0.354,0.528,46.1,53.3,7.4,0.494,21.4,0.281,6.0,A-Sun,-1,False,False,False,2011
5978,North Texas,33,22,11,0.667,-1.49,-5.07,8.0,8.0,14.0,2.0,5.0,8.0,2516.0,2358.0,0.519,0.273,0.582,52.1,49.0,5.6,0.531,16.9,0.389,10.0,Sun Belt,-1,False,False,False,2011
5979,Northeastern,31,11,20,0.355,-2.67,1.17,6.0,12.0,6.0,5.0,3.0,10.0,2064.0,2183.0,0.358,0.316,0.548,46.9,59.4,6.4,0.507,17.1,0.269,10.0,CAA,-1,False,False,False,2011
