,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
42,Cleveland State,28,22,6,0.786,-0.08,-5.51,15.0,1.0,11.0,1.0,10.0,4.0,2138.0,1986.0,0.43,0.249,0.553,50.3,61.1,6.6,0.521,18.5,0.291,1.0,Mid-Cont,-1,False,False,False,1993
43,Coastal Carolina,32,22,10,0.688,-3.91,-7.88,12.0,4.0,8.0,2.0,8.0,6.0,2488.0,2268.0,0.387,0.258,0.563,50.5,53.8,8.4,0.531,16.9,0.272,2.0,Big South,16.0,True,False,False,1993
44,Colgate,28,18,10,0.643,-5.96,-9.6,9.0,5.0,11.0,5.0,6.0,5.0,2150.0,2048.0,0.415,0.286,0.526,50.0,52.0,8.8,0.483,16.9,0.293,4.0,Patriot,-1,False,False,False,1993
46,Colorado,27,10,17,0.37,6.48,7.62,2.0,12.0,8.0,5.0,1.0,10.0,2003.0,2034.0,0.463,0.218,0.531,50.8,54.6,12.7,0.499,21.8,0.297,8.0,Big 8,-1,False,False,False,1993
47,Colorado State,29,17,12,0.586,3.33,2.22,9.0,9.0,11.0,3.0,3.0,8.0,2172.0,2074.0,0.428,0.291,0.557,51.3,66.1,6.3,0.517,15.9,0.308,5.0,WAC,-1,False,False,False,1993
48,Columbia,26,16,10,0.615,-3.01,-6.65,10.0,4.0,7.0,3.0,5.0,6.0,1889.0,1737.0,0.542,0.195,0.569,50.4,58.0,10.9,0.525,18.5,0.381,2.0,Ivy,-1,False,False,False,1993
49,Connecticut,28,15,13,0.536,11.69,8.05,9.0,9.0,10.0,6.0,5.0,5.0,2113.0,2011.0,0.343,0.24,0.517,51.1,52.0,11.8,0.48,17.6,0.243,4.0,Big East,-1,False,False,False,1993
50,Coppin State,30,22,8,0.733,-3.73,-11.06,16.0,0.0,10.0,1.0,9.0,6.0,2214.0,1994.0,0.411,0.335,0.503,50.6,47.4,8.1,0.458,16.7,0.289,1.0,MEAC,15.0,True,False,False,1993
51,Cornell,26,16,10,0.615,-1.24,-1.72,9.0,5.0,9.0,2.0,5.0,8.0,1827.0,1780.0,0.365,0.19,0.513,50.9,47.1,6.7,0.465,16.6,0.274,3.0,Ivy,-1,False,False,False,1993
52,Creighton,26,8,18,0.308,-3.03,2.01,6.0,12.0,8.0,5.0,0.0,13.0,1667.0,1798.0,0.425,0.253,0.543,48.3,67.4,4.6,0.492,23.4,0.32,10.0,MVC,-1,False,False,False,1993
